id_municipio_endereco,qtd_vacinados,qtd_primeira_dose,qtd_segunda_dose
2405603,38510,18616,16921
2414407,84417,42165,36385
2407401,35853,16883,15734
2703601,17373,9396,7310
4106001,27338,13516,12383
3146206,12801,7016,5433
4304903,38477,17664,16887
3117876,29645,14427,13048
3167806,15716,7982,6522
2503605,20480,9753,9007
3153301,11883,5437,5070
3502002,19924,8805,9797
4214201,39466,19091,15631
4202859,13075,6179,5764
4215356,15188,6791,6560
4312252,25302,12061,10894
1703701,10390,5306,4496
2605806,37708,17935,16155
2801306,100267,48190,44014
3154408,20422,9170,8552
1502608,31728,16621,13947
3115706,20347,9787,8708
3136553,15842,7477,7113
2610103,22738,10982,9514
4302154,10373,4554,4362
4115903,7174,3448,3068
2609154,38343,19718,16769
2105658,11853,6229,5237
4116604,13014,6104,5786
3535705,40917,12064,26187
2406304,18797,9444,7968
4219408,15232,7254,6998
2514008,13018,6574,5307
4118303,11033,5023,4913
4318481,19860,8479,8321
2903409,39570,20840,16314
1501402,5189829,2363566,2287851
1506302,47988,24494,21641
4200804,26096,11490,11108
2100907,70930,39657,29981
4117503,127652,61532,56692
5106158,24737,12898,10842
1300904,16489,8938,7269
3547700,92817,38867,46036
1100403,40759,19916,17700
1713809,12457,6250,5444
2109601,101727,50208,44988
3121407,28820,13286,12765
4101101,70743,32767,30824
1508159,53493,28371,23345
3167103,61498,30225,26340
4115101,35304,16443,15470
1600238,10758,5710,4399
3123700,33290,15772,14217
2502052,11957,5621,5143
3512308,72464,32493,34766
3512209,149222,73838,68258
4205100,15694,7425,7120
5005103,17621,7892,7549
4126801,54354,25346,24127
1717008,8303,4370,3605
1200013,24350,12309,10524
3509304,56694,24974,27299
2921500,62806,43074,19352
3108552,50503,24992,22721
5221601,140423,68484,62833
2208502,39304,18497,16950
2204303,33176,15619,15251
4216008,37884,17534,16833
2305654,44038,20363,18301
2306801,40035,19350,18335
2401651,9696,4701,4309
3101201,24818,11536,10491
4310652,12352,5632,5310
3545605,75904,31121,38456
3170800,116176,55630,50721
5107008,47617,23236,20319
3529906,73074,32739,35471
4126272,19571,9479,8553
2933059,45901,21335,20501
2904803,22215,10630,9761
4215109,40880,19148,18313
3532207,39771,19219,18509
2404903,29421,14691,12824
2313104,91991,46531,40838
1716703,20331,10329,9093
2410900,21353,10191,9222
2703700,14162,7086,6358
3100708,12018,5082,4852
2112274,11997,6173,5189
4118808,45736,21263,20112
5212808,28820,14168,12932
3537503,51812,19872,28695
4111605,10974,5283,4931
4317756,8310,3832,3657
4305132,16543,7342,7071
3116902,7469,3770,2969
3143302,1220409,611414,519922
5300108,8827986,4271988,3882816
2403251,727339,349720,316498
3168606,351082,180118,149924
2933307,1042659,519812,458881
3503901,434204,194157,217695
4117800,50978,24409,22616
3509254,136394,64797,64662
3514502,70961,29675,34055
3516606,34920,14968,15812
4215455,40733,20821,17889
4211306,187294,93812,83611
3171071,20668,9384,9067
3136306,152495,72703,66600
3546405,247423,102442,123544
1100379,28244,14011,12223
5006309,151036,66894,64723
5008008,53284,23865,21208
5003306,107555,49473,45747
3141207,20524,8243,8052
2205516,13867,7288,6141
4106605,72696,34283,31165
4113734,22538,10780,9869
1600279,65484,34137,27728
1600212,7053,3810,2934
1600105,13403,6958,5635
2708006,124085,62911,54184
2700409,90963,46419,39679
2704609,28538,14414,12846
2931053,64454,30502,27593
4206603,21259,9568,9199
4217808,58063,27476,26156
2919603,33973,16653,14217
2922656,45163,21111,19539
3542404,100766,42735,50774
2613404,45132,22210,18521
2211308,68397,33425,30708
4110102,89463,44290,39757
4126652,12801,5870,5561
2805406,74676,36214,32222
2503704,216421,103215,93870
3521002,87394,39845,42749
