ano,turno,id_municipio,sigla_partido,id_candidato_bd,resultado,QTD_CANDIDATOS_MUN,FL_SITUACAO,FL_OPOSICAO,PORC_VOTOS,QTD_CANDIDATOS_MUN_1,SOMA_OPOSICAO,SOMA_SITUACAO
2020,1,3126802,PT,999675,eleito,2,0,1,0.5221738016,2,1,1
2020,1,3126802,PSDB,1478921,nao eleito,2,1,0,0.4778261984,2,1,1
2020,1,3534104,PDT,1727562,eleito,2,0,1,0.5363015431,2,1,1
2020,1,3534104,SOLIDARIEDADE,1447487,nao eleito,2,1,0,0.4636984569,2,1,1
2020,1,2202091,PT,176877,nao eleito,2,0,1,0.2429447853,2,1,1
2020,1,2202091,PSD,1170017,eleito,2,1,0,0.7570552147,2,1,1
2020,1,2300507,PDT,1566303,eleito,2,0,1,0.7419810654,2,1,1
2020,1,2300507,PSD,204048,nao eleito,2,1,0,0.2580189346,2,1,1
2020,1,2310951,PDT,934268,eleito,2,0,1,0.5543037404,2,1,1
2020,1,2310951,PTB,985025,nao eleito,2,1,0,0.4456962596,2,1,1
2020,1,2905008,DEM,959737,nao eleito,2,1,0,0.4579045514,2,1,1
2020,1,2905008,PSB,1499850,eleito,2,0,1,0.5420954486,2,1,1
2020,1,2916906,PSB,1594343,nao eleito,2,0,1,0.4182175821,2,1,1
2020,1,2916906,PSD,850258,eleito,2,1,0,0.5817824179,2,1,1
2020,1,4123907,PSB,920741,nao eleito,2,0,1,0.2476793249,2,1,1
2020,1,4123907,PSD,249632,eleito,2,1,0,0.7523206751,2,1,1
2020,1,4300638,PDT,325218,eleito,2,0,1,0.5423855964,2,1,1
2020,1,4300638,MDB,839321,nao eleito,2,1,0,0.4576144036,2,1,1
2020,1,5107198,PSB,711013,nao eleito,2,0,1,0.4436260623,2,1,1
2020,1,5107198,PSDB,831544,eleito,2,1,0,0.5563739377,2,1,1
2020,1,5205471,DEM,24186,eleito,2,1,0,0.5814992553,2,1,1
2020,1,5205471,PSB,1087467,nao eleito,2,0,1,0.4185007447,2,1,1
2020,1,1502103,PT,210364,nao eleito,2,0,1,0.2887039286,2,1,1
2020,1,1502103,MDB,909285,eleito,2,1,0,0.7112960714,2,1,1
2020,1,4314753,PDT,251544,eleito,2,0,1,0.6490939044,2,1,1
