id_municipio,DOMICILIOS,TX_URBANI,TX_EE,TX_TV,TX_GELAD,TX_COMPUTADOR,TX_ESGOTO,TX_DIST_AGUA
4127205,5084.9999999998045,0.8315518201792591,0.9990879257890886,0.9422337905917604,0.9911861094208588,0.8598566382699518,0.3157008617583355,0.911800374113419
4128807,2012.0000000004209,0.3354870775347918,0.9986960735899509,0.947054834929809,0.9929185912925842,0.6837215445941067,0.1218090592620563,0.6776785196696269
2901304,3783.0000000000105,0.5899286940604376,0.8977436987478531,0.8014182874404752,0.6149294382163017,0.7624726174315147,0.18177708320126468,0.6503522743148226
2902658,3041.000000000001,0.38901677079907926,0.9817056131081194,0.9073334974599936,0.7939046257680953,0.41052452011902,0.1748700554128716,0.9750691831383809
2904803,2942.999999999997,0.45871559633027503,0.8890259171820271,0.8142139335510619,0.7061680728113836,0.7582602910282902,0.5952769689525192,0.644703628911206
2908705,4698.999999999997,0.46329006171525844,0.9316890960016414,0.8200264999667991,0.7242219148815682,0.6442052116649046,0.10268921635549509,0.6220186184772779
2910305,2567.9999999999977,0.42718068535825665,0.9804305158398184,0.885483713954255,0.8500915259725498,0.7411671083621306,0.004798375760736446,0.7825612116183469
2910776,1749.000000000005,0.5357347055460265,0.8067898882859507,0.6694176598096236,0.6366109133588576,0.5885397913704928,0.030572897978088952,0.5702975895826564
2918209,3992,0.42710420841683366,0.9601480216973624,0.8626372604505095,0.7971669849697659,0.6539615511379256,0.3359656756534414,0.4168632739790564
2918555,2008.0000000000045,0.7490039840637439,0.9597047719616614,0.843131870283033,0.7406189034192301,0.68341076390241,0.7066010852708504,0.8521709936123347
2919009,1119.0000000000036,0.3172475424486151,0.721485499880601,0.6163668398517432,0.49091646520807736,0.14232183192770548,0.32439896737035995,0.5222410341256863
2919926,5189.999999999962,0.9722543352601144,0.9957762511343572,0.9698982139191041,0.9424253136210475,0.8125481859570649,0.9274174745192345,0.9939474188648266
2919959,1984.0000000000032,0.42489919354838673,0.8831624278424,0.7933451581975194,0.6268101486957767,0.8253019199858151,0.32798854094902125,0.531434052240647
2920205,3898.999999999997,0.4144652474993588,0.9100037073356891,0.7488295640210287,0.6795990259671318,0.5444154172601217,0.17824929060110803,0.6447555467802122
2925600,4064.0000000000027,0.657726377952756,0.9816878142854027,0.9280230261364003,0.7866547935280785,0.7561696276687093,0.0668654588533748,0.9495986759786652
4300307,2478.000000000011,0.3272800645682003,0.9895181932487203,0.9235109874444979,0.9571585768742723,0.5791621482746991,0.1403874857170784,0.7822743862757746
4300505,2692.0000000000023,0.2968053491827635,0.9952307597864479,0.9285592396060218,0.9878386066135303,0.751839655825205,0.20971174879544735,0.39608883607840534
4300570,1001.000000000001,0.300699300699301,1,0.9784481530735871,0.9927000835326029,0.5117474029286496,0.7421077025422179,0.6072399013677497
4301651,1851.0000000000027,0.5299837925445701,0.9982846044603355,0.9870988457246042,0.9982846044603355,0.6412969217771102,0.3362272458438665,0.7464661075691871
4301958,721.0000000000016,0.6638927415626447,1,0.9857078919715971,0.9964792307481216,0.6399591772205941,0.39974669969460486,0.9110492817898421
4302006,3630.000000000007,0.3429752066115686,0.9873049900736293,0.9245022950881753,0.9234797057145092,0.710698549491868,0.32940362132625084,0.3461962972870306
4302600,1224.0000000000018,0.6151960784313723,0.9907177814419279,0.7814438267589625,0.92872331600413,0.7648684149411044,0.08278954739713994,0.6860436356058305
4302659,1693.9999999999916,0.5082644628099175,0.994445508055725,0.9655305147545654,0.9772098665296655,0.6003399406127896,0.33792480911531486,0.8610550369431771
4303202,1453.0000000000023,0.3812801101169999,0.9567478932108231,0.9116728472294662,0.9312262206045991,0.5733658721394522,0.4900904497275651,0.6566792996745583
4304622,613.0000000000025,0.2903752039151713,0.997132290358274,0.9083527482810039,0.9697190311369513,0.5387927447585693,0.15235225938063726,0.3410770189966754
4306056,2355.0000000000005,0.5813163481953304,0.977201729233763,0.9261514271069448,0.9476650382699987,0.61047773949903406,0.8392903678051064,0.6538284085998286
4306429,714.0000000000008,0.5266106442577045,0.9918805747375701,0.8021214874346895,0.9430575302348733,0.77291999671726,0.08983701567648868,0.8078115111042455
4307500,5258.99999999996,0.7425760753470085,0.9921470795559372,0.9742972000360843,0.9801673879077754,0.7462757190411193,0.5618641355431095,0.8483449649669478
4308656,1091.0000000000032,0.3363886342804762,0.997837156331862,0.809854148163982,0.8997660400354393,0.8186515710291032,0.05788363004640892,0.8990290931009669
4309159,1217.0000000000043,0.15365653245686126,1,0.9393391513872191,0.939614647817265,0.5261806403429323,0.15227250187032662,0.32206573067739797
4309506,2737.999999999946,0.6391480686164115,0.9932574591768569,0.9288155601582706,0.9700820939583168,0.7010357253014062,0.047749387213383246,0.9684067329743595
4311759,2513.000000000012,0.7624353362514914,0.9954432789720604,0.9441341404116043,0.9383997859057406,0.7139428575781335,0.14929834084559493,0.7967896605855174
4311775,2332.000000000003,0.30917667238421953,0.9915878386224954,0.9457567452376933,0.9686858902579984,0.5515568531524054,0.714902736494144,0.4438914305880561
4312351,469.0000000000017,0.46055437100213203,1,1,0.9948915348981074,0.7741416445637932,0.3339149314063801,0.9381518332994956
4312708,3997.000000000011,0.7820865649236918,0.9916271269291799,0.9185431910238834,0.9659976958238804,0.8127286428776548,0.2609502154666272,0.8690289593030238
4313334,849.0000000000033,0.3062426383981152,1,0.9632198994701998,0.9670215882407792,0.6108710587072163,0.04397572002630039,0.7731038294483562
4313607,1365.0000000000007,0.5538461538461538,0.9977207295789723,0.9747167226395292,0.9930567043280837,0.5966873056295174,0.39018080829227253,0.8478864046887522
4315156,2015.0000000000005,0.3310173697270479,0.9986924374107535,0.9355251675376746,0.9497540719044028,0.5615180817632309,0.2403782455892027,0.49796756286953064
